Designator,Mid X,Mid Y,Rotation,Layer
D1,73.75,-79.0,90.0,top
D10,133.19,-89.0,0.0,top
D11,132.06,-101.0,0.0,top
D12,131.31,-126.25,0.0,top
D2,73.25,-108.06,270.0,top
D3,63.94,-126.0,180.0,top
D4,98.5,-79.0,90.0,top
D5,81.5,-101.0,0.0,top
D6,81.44,-126.25,0.0,top
D7,123.5,-79.0,90.0,top
D8,106.44,-101.0,0.0,top
D9,106.56,-126.25,0.0,top
SW1 - ESC,61.09,-75.66,0.0,top
SW10 - ENTER,136.09,-75.66,0.0,top
SW11 - R,136.09,-110.66,0.0,top
SW12 - B,136.09,-135.66,0.0,top
SW2 - A,61.09,-110.66,0.0,top
SW3 - X,61.09,-135.66,0.0,top
SW4 - CTRL+S,86.09,-75.66,0.0,top
SW5 - W,86.09,-110.66,0.0,top
SW6 - V,86.09,-135.66,0.0,top
SW7 - DELETE,111.09,-75.66,0.0,top
SW8 - CTRL+L,111.09,-110.66,0.0,top
SW9 - F,111.09,-135.66,0.0,top
U1,59.5185,-95.5,90.0,top
